DomInio,,CODIGO,CREDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1849,4,1AC,O CORPO HUMANO COMO QUESTAO EM DESIGN,,3,,,6,15-17,L 658,27 ART,Luiza Marcier 2 Dani Lima 1 Palestra 1,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1850,2,1AA,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN II,,,,,6,17-19,ART 2 ,27 ART,Romulo Matteoni,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1850,2,1AB,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN II,,,,,6,17-19,ART 3,27 ART,Simone Formiga ,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1850,2,1AC,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN II,,,,,6,13-15,ART 2 ,27 ART,Priscila Andrade,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1851,2,1AA,GEOMETRIA DESCRITIVA,,,,,6,13-15,L 232,25 ART ,Alessandra Carusi,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1851,2,1AB,GEOMETRIA DESCRITIVA,,3,,,,17-19,L 422,25 ART ,Leonidas Moraes,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1851,2,1AC,GEOMETRIA DESCRITIVA,,,,5,,17-19,ART 2,25 ART ,Alessandra Carusi,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1851,2,1AD,GEOMETRIA DESCRITIVA,,,,5,,17-19,L 532,25 ART ,Leonidas Moraes,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1852,2,1AA,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,30 ART,Claudia Vianna,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1852,2,1AB,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,30 ART,Claudia Stamato ,4¼ ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1852,2,1AC,FUNDAMENTOS EM ERGODESIGN,,,,,6,09-11,VIRTUAL,30 ART,Horista a contratar / Claudia Vianna ,4¼ ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1853,2,1AA,DESENHO TECNICO,2,,,,,13-15,L 232,20 ART,Alessandra Carusi ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1853,2,1AB,DESENHO TECNICO,2,,,,,13-15,L 260,20 ART,Leonidas Moraes,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1853,2,1AC,DESENHO TECNICO,,,4,,,13-15,K 008,20 ART,Marco AntOnio ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1853,2,1AD,DESENHO TECNICO,,,4,,,07-09,ART 1,20 EPP,Celso Wilmer ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1854,4,1AA,LINGUAGEM E ESTRUTURAS,2,,4,,,08-10,L 232,25 ART,Augusto Seibel 2 Isabel Martins  2,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1854,4,1AB,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,ART 2,25 ART,Isabel Martins 2  FAbio Lopez 2,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1854,4,1AC,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 260,25 ART,FAbio Lopez 2  Rian Rezende 2 ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1854,4,1AD,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,ART 3,25 ART,Daniel Malaguti 2 Rian Rezende 2,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1855,3,1AA,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN III,,3,,,,10-13,ART 4,26 ART,Rian Rezende,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1855,3,1AB,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN III,,3,,,,10-13,ART 5,26 ART,Claudia Bolshaw,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1855,3,1AC,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN III,,,,5,,10-13,ART 4,26 ART,Rian Rezende,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1856,2,1AA,BIONICA,,3,,,,08-10,K 017,30 ART,Evelyn Grumach,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1856,2,1AB,BIONICA,,3,,,,08-10,ART 5,30 ART,JoAo Victor,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1856,2,1AC,BIONICA,,,,5,,08-10,ART 4,30 ART,Nathalia Cavalcante,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1857,2,1AA,ERGODESIGN,,3,,,,09-11,IAG 3,25 ART,Claudia Stamato ,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1857,2,1AB,ERGODESIGN,,3,,,,07-09,IAG 3,25 ART,Horista a contratar  / Claudia Stamato,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1861,2,1AA,PRATICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 4,23 ART ,Gabriella Vaccari 2 Guilherme Xavier 0,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1861,2,1AB,PRATICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 4,23 ART ,Guilherme Xavier 2 Gabriella Vaccari 0,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1861,2,1AC,PRATICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 5,23 ART ,Gilberto Mendes 2 AndrE BeltrAo 0,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1861,2,1AD,PRATICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 5,23 ART ,AndrE BeltrAo 2 Gilberto Mendas 0,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1862,2,1AA,PRATICAS EXPERIMENTAIS II,,,,5,,11-13,L 232/ K 015/ LIFE,20 ART,JoAo Bonelli,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1862,2,1AB,PRATICAS EXPERIMENTAIS II,,,,5,,11-13,L 232/ K 015/ LIFE,20 ART,Guilherme Xavier,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1862,2,1AC,PRATICAS EXPERIMENTAIS II,,,,5,,11-13,L 232/ K 015/ LIFE,20 ART,Joy Till,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1863,4,1AA,PRATICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,20 ART,JoAo Bonelli,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1863,4,1AB,PRATICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,20 ART,Luiz Ludwig,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1863,4,1AC,PRATICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,20 ART,Luiza Marcier,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1864,4,1AA,PRATICAS EXPERIMENTAIS IV,,3,,5,,13-15,K 008,20 ART,Mario Seixas,3¼/4¼ Optativas PrAticas Experimentais,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1865,4,1AA,PRATICAS EXPERIMENTAIS V,,3,,5,,13-15,LAB MOD,20 ART,Luciana Barbosa ,3¼/4¼ Optativas PrAticas Experimentais,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1866,2,1AA,PRATICAS EXPERIMENTAIS VI,,,,5,,07-09,K 015,20 ART,Helena Cavalcanti,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1867,2,1AA,PRATICAS EXPERIMENTAIS VII,,,,5,,09-11,LAB MOD,20 ART,Luciana Barbosa ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1900,4,1AA,PROJETO INTERDISCIPLINAR DE ENFASE,,,,,,,,,Horista a contratar ,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1901,2,1AA,ESTAGIO ,,,4,,,11-13,IAG 4,22 MOD / 10 ART ,Luiz Ludwig > Horista a contratar,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1901,2,1AB,ESTAGIO ,,,,,6,07-09,ART 3,30 ECV,Gilberto Mendes,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1901,2,1AC,ESTAGIO ,,,,,6,09-11,IAG 3,30 DIG,Leonardo Cardarelli,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1901,2,1AD,ESTAGIO ,,,4,,,09-11,L 658,13 EPP /17 ART ,Monica Saddi,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1902,2,1AA,DOCUMENTACAO DE PROJETO PARA TCC EM DESIGN,,,,5,,09-11,VIRTUAL,,Izabel Oliveira ,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1910,3,1AA,ANTEPROJETO FINAL DE ENFASE,,,4,,,08-11,VIRTUAL,,Rita Couto,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1930,4,1AA,MATERIAIS SUSTENTAVEIS E PROCESSOS CIRCULARES,,,,,6,09-13,ART 5,20 ART,Daniel Malaguti ,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1931,4,1AA,EMPREENDEDORISMO EM DESIGN,,3,,5,,11-13,VIRTUAL,25 ART ,Felipe Rangel,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1942,4,1AA,ESTUDOS ERGONOMICOS AVANCADOS E TESTES,,,,,6,07-11,L422,20 ART /10 QQC,Claudia Mont'AlvAo,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1946,4,1AA,MODA E O CORPO CONTEMPORANEO,,,4,,6,13-15,LAB MOD,10 ART/ 10 QQC,Luiza Marcier 2 Walvyker 2,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1948,2,1AA,CARTOGRAFIAS ,,3,,,,13-15,ART 1,25 ART ,Priscila Andrade ,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1949,2,1AA,OBJETO ROUPA,,,,5,,11-13,LAB MOD,20 ART,Horista a contratar ,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1951,4,1AA,DESIGN ESPECULATIVO: CENARIOS FUTUROS ,,3,,5,,13-15,ART 5/ VIRTUAL,20 ART ,Carlo Franzato,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1952,4,1AA,DESIGN E NARRATIVA ,,,,,6,07-11,L658,20 ART ,Rian Rezende,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1953,2,1AA,CONECTIVIDADE E INTERATIVIDADE NAS ARTES E NO DESIGN,2,,,,,13-15,IAG 3,20 ART ,Luiz Ludwig,Optativa ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1958,4,1AA,MULTIMODALIDADE E MULTISENSORIALIDADE NAS ARTES E DESIGN,,3,,5,,09-11,VIRTUAL/L260,20 ART ,Maria Julia,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1963,2,1AA,DESIGN DE SERVICO,,3,,,,11-13,L 232,20 ART ,Manuela Quaresma ,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1972,2,1AA,LABORATORIO DO LUDICO NOS PROCESSOS COMUNICACIONAIS,,3,,,,13-15,VIRTUAL,20 QQC,Luis Vicente,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1974,2,1AA,BIOMIMETICA ,,,,5,,11-13,ART 5,11 ART / 5 QQC ,JoAo Victor,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1975,2,1AA,LABORATORIO EXPLORACAO EXPERIMENTAL PARA INOVACAO,,,4,,,13-15,K 008,10 ART /5 QQC,Claudio MagalhAes,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1977,2,1AA,DESIGN DE EMBALAGEM ,,3,,,,11-13,K 008,20 ART,Claudia Kayat,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1981,2,1AA,LABORATORIO TRIDIMENSIONAL ,,3,,,,15-17,LAB MOD ,20 ART ,Walvyker Souza,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1988,2,1AA,PROTOTIPAGEM E SIMULACAO DIGITAL,,,,5,,13-15,LIFE,18 ART ,Jacques Chueke,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1990,3,1AA,JOGOS DIGITAIS,,,,5,,08-11,LIFE,18 ART,Guilherme Xavier,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1999,3,1AA,CRIACAO E TRAT. DA IMAGEM,,,,5,,15-18,K 015 ,15 ART / 5 QQC,Lula Rocha,Optativa,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1999,3,1AB,CRIACAO E TRAT. DA IMAGEM (em inglEs),2,,,,,15-18,K 015 ,10 QQC /10 CCCI,Lula Rocha,,,,,,,,,,,,,,,,,,,,,,,,
,,EMP1200,2,8AA,EMPREENDEDORISMO,,,,5,,11-13,VIRTUAL,30 DIG,Guilherme Toledo ,8¼,,,,,,,,,,,,,,,,,,,,,,,
,,EMP1200,2,8AB,EMPREENDEDORISMO,,,4,,,07-09,VIRTUAL,12 MOD/ 18 BPP,Luis Felipe S. Carvalho ADM,8¼,,,,,,,,,,,,,,,,,,,,,,,
,,EMP1200,2,8AC,EMPREENDEDORISMO,2,,,,,09-11,VIRTUAL,30 ECV ,Sylvia Therezinha de Almeida Moraes ADM,8¼,,,,,,,,,,,,,,,,,,,,,,,
,,FIL 1815,4,1AA,ESTETICA,2,,,,6,07-09,VIRTUAL,30 EPP ,Horista a contratar ,7¼ ,,,,,,,,,,,,,,,,,,,,,,,
,,FIL 1815,4,1AB,ESTETICA,2,,4,,,07-09,VIRTUAL,30 ECV,Horista a contratar ,7¼ ,,,,,,,,,,,,,,,,,,,,,,,
,,FIL 1815,4,1AC,ESTETICA,2,,,5,,11-13,VIRTUAL,30 DIG,Horista a contratar ,7¼ ,,,,,,,,,,,,,,,,,,,,,,,
,,FIL 1815,4,1AD,ESTETICA,2,,,,6,11-13,VIRTUAL,30 MOD,Horista a contratar ,7¼,,,,,,,,,,,,,,,,,,,,,,,
,,FIS 1130,2,3AB,FISICA,,,,5,,09-11,L 358,20 ART ,Horista a contratar ,4¼ para DIG/ 5¼ para CV e PP/ 6¼ para MOD ,,,,,,,,,,,,,,,,,,,,,,,
,,FIS 1130,2,3AC,FISICA,,,,5,,11-13,L 358,20 ART ,Horista a contratar ,4¼ para DIG/ 5¼ para CV e PP/ 6¼ para MOD ,,,,,,,,,,,,,,,,,,,,,,,
,,INF 1030,3,3AA,CONCEITOS DE INFORMATICA,,,,5,,08-11,VIRTUAL,15 DIG,Jan Krueger Siqueira,6¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,INF 1030,3,3AB,CONCEITOS DE INFORMATICA,,,4,,,11-14,VIRTUAL,15 DIG,Horista a contratar ,6¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,JUR 1809,2,2AA,DIREITO DO AUTOR,,,,,6,09-11,VIRTUAL,10 EPP/25 ART,Ricardo Brajterman,7¼ para DIG, CV e PP/ 8¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,JUR 1809,2,2AB,DIREITO DO AUTOR,2,,,,,09-11,VIRTUAL,20 ECV/15 DIG ,Ricardo Brajterman,7¼ para DIG, CV e PP/ 8¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,JUR 1809,2,2AC,DIREITO DO AUTOR,,,,5,,07-09,VIRTUAL,20 MOD/15 ART ,Ricardo Brajterman,7¼ para DIG, CV e PP/ 8¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,LET 1910,4,1AA,ANALISE PRODUCAO TEXTO ACADEMICOcad,2,,4,,,15-17,L 658,21 CAL/ 3 ART / 2 QQC,Horista a contratar ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,LET 1910,4,1AB,ANALISE PRODUCAO TEXTO ACADEMICOcad,2,,4,,,17-19,ART 2 ,21 CAL/ 3 ART / 2 QQC,Horista a contratar ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,LET 1910,4,1AC,ANALISE PRODUCAO TEXTO ACADEMICOcad,2,,4,,,17-19,ART 1,21 CAL/ 3 ART / 2 QQC,Horista a contratar ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,LET 1910,4,1AD,ANALISE PRODUCAO TEXTO ACADEMICOcad,2,,4,,,15-17,ART 2 ,21 CAL/ 3 ART / 2 QQC,Horista a contratar ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,PSI 1130,2,1AA,PSICOLOGIA E PERCEPCAO,,,,,6,15-17,VIRTUAL,25 ART,Tatiana Carvalho,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,presencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hibrido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,remoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
